from,to,source
A,A.1 Red List of Ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
A,A.2 Extent of natural ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
A,A.3 Red List Index (Sustainable Development Goal indicators 15.5.1),Monitoring framework assignment (Goals and Targets to Indicators)
A,A.4 The proportion of populations within species with an effective population size greater than 500,Monitoring framework assignment (Goals and Targets to Indicators)
A,Ecosystem Intactness Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Ecosystem Integrity Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Species Habitat Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Biodiversity Habitat Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Biodiversity Intactness Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Protected Connected Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Protected Area Representativeness and Connectedness Indices,Monitoring framework assignment (Goals and Targets to Indicators)
A,Evolutionarily Distinct and Globally Endangered Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Living Planet Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Wild Bird Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Forest area as a proportion of total land area (Sustainable Development Goal indicator 15.1.1),Monitoring framework assignment (Goals and Targets to Indicators)
A,Rate of tree cover loss,Monitoring framework assignment (Goals and Targets to Indicators)
A,Mountain Green Cover Index (Sustainable Development Goal indicator 15.4.2),Monitoring framework assignment (Goals and Targets to Indicators)
A,Continuous global mangrove forest cover,Monitoring framework assignment (Goals and Targets to Indicators)
A,Mangrove forest fragmentation,Monitoring framework assignment (Goals and Targets to Indicators)
A,Mangrove extent,Monitoring framework assignment (Goals and Targets to Indicators)
A,Global salt marsh extent,Monitoring framework assignment (Goals and Targets to Indicators)
A,Wetland Extent Trends Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Forest Fragmentation Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Forest Landscape Integrity,Monitoring framework assignment (Goals and Targets to Indicators)
A,Global Vegetation Health Products,Monitoring framework assignment (Goals and Targets to Indicators)
A,Bioclimatic Ecosystem Resilience Index (2),Monitoring framework assignment (Goals and Targets to Indicators)
A,Relative magnitude of fragmentation,Monitoring framework assignment (Goals and Targets to Indicators)
A,Ocean Health Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Extent of physical damage to predominant seafloor habitats,Monitoring framework assignment (Goals and Targets to Indicators)
A,River Fragmentation Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Mean species abundance,Monitoring framework assignment (Goals and Targets to Indicators)
A,Species Protection Index (1),Monitoring framework assignment (Goals and Targets to Indicators)
A,Changes in plankton biomass and abundance,Monitoring framework assignment (Goals and Targets to Indicators)
A,Comprehensiveness of conservation of socioeconomically and culturally valuable species,Monitoring framework assignment (Goals and Targets to Indicators)
A,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities (Sustainable Development Goal indicator 2.5.1),Monitoring framework assignment (Goals and Targets to Indicators)
A,"Proportion of local breeds classified as being at risk, not- at-risk or at unknown level of risk of extinction (Sustainable Development Goal indicator 2.5.2)",Monitoring framework assignment (Goals and Targets to Indicators)
A,Red List Index (wild relatives of domesticated animals),Monitoring framework assignment (Goals and Targets to Indicators)
A,Species Status Information Index,Monitoring framework assignment (Goals and Targets to Indicators)
A,Expected loss of phylogenetic diversity,Monitoring framework assignment (Goals and Targets to Indicators)
A,Proportion of populations maintained within species,Monitoring framework assignment (Goals and Targets to Indicators)
B,B.1 Services provided by ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
B,"B.b Number of countries with policies or actions for implementing and monitoring the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services",Monitoring framework assignment (Goals and Targets to Indicators)
B,Red List Index (for utilized species),Monitoring framework assignment (Goals and Targets to Indicators)
B,Living Planet Index for utilized species,Monitoring framework assignment (Goals and Targets to Indicators)
B,Total value of ecosystems services in monetary units,Monitoring framework assignment (Goals and Targets to Indicators)
B,Ecological footprint (1),Monitoring framework assignment (Goals and Targets to Indicators)
B,Red List Index (pollinating species),Monitoring framework assignment (Goals and Targets to Indicators)
B,Green Status of Species,Monitoring framework assignment (Goals and Targets to Indicators)
B,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (Sustainable Development Goal indicator 6.4.2),Monitoring framework assignment (Goals and Targets to Indicators)
